0,NAME,PriceRub,PriceEuro
1.,Хамовники,755473,10888.916114153935
2.,Якиманка,681050,9816.229460939752
3.,Арбат,672148,9687.921591236669
4.,Пресненский,556598,8022.456039204382
5.,Тверской,541558,7805.678869991352
6.,Замоскворечье,510406,7356.6733929086195
7.,Мещанский,445415,6419.933698472182
8.,Раменки,434873,6267.987892764486
9.,Басманный,429737,6193.9607956183345
10.,Дорогомилово,387803,5589.550302680888
11.,Таганский,381011,5491.654655520323
12.,Красносельский,353750,5098.731622946094
13.,Гагаринский,352288,5077.659267800519
14.,Хорошёвский,343179,4946.367829345633
15.,Очаково-Матвеевское,337467,4864.038627846642
16.,Беговой,327407,4719.040069184203
17.,Тропарёво-Никулино,318146,4585.5577976362065
18.,Проспект Вернадского,309456,4460.305563562987
19.,Крылатское,309284,4457.826462957625
20.,Донской,307228,4428.192562698184
21.,Покровское-Стрешнево,297676,4290.51599884693
22.,Фили-Давыдково,293748,4233.900259440761
23.,Щукино,292773,4219.847218218507
24.,Обручевский,277646,4001.816085327184
25.,Сокольники,275153,3965.8835399250506
26.,Ломоносовский,274075,3950.345921014702
27.,Филёвский Парк,273560,3942.923032574229
28.,Хорошёво-Мнёвники,272705,3930.599596425483
29.,Академический,268164,3865.1484577688097
30.,Даниловский,267821,3860.204669933699
31.,Останкинский,265846,3831.738253098876
32.,Сокол,261739,3772.5425194580575
33.,Аэропорт,261417,3767.90141251081
34.,Черёмушки,261366,3767.1663303545693
35.,Кунцево,254694,3671.0002882675126
36.,Алексеевский,250251,3606.961660420871
37.,Марьина Роща,249774,3600.0864802536757
38.,Южнопортовый,239557,3452.8250216200636
39.,Савёловский,237729,3426.4773710002887
40.,Войковский,235348,3392.1591236667628
41.,Можайский,231606,3338.2242721245316
42.,Преображенское,230875,3327.688094551744
43.,Котловка,228630,3295.330066301528
44.,Строгино,226123,3259.195733640819
45.,Бутырский,225351,3248.0686076679162
46.,Нагатинский Затон,224828,3240.5304122225425
47.,Лефортово,223383,3219.7030844623814
48.,Тимирязевский,221382,3190.8619198616316
49.,Левобережный,220339,3175.8287690977227
50.,Свиблово,218721,3152.507927356587
51.,Марфино,215529,3106.5004324012684
52.,Тёплый Стан,215005,3098.9478235802826
53.,Измайлово,214955,3098.2271547996543
54.,Богородское,211067,3042.1879504179883
55.,Нагорный,210117,3028.495243586048
56.,Коньково,209907,3025.4684347074085
57.,Чертаново Северное,207290,2987.748630729317
58.,Северное Тушино,207055,2984.3614874603636
59.,Зюзино,205578,2963.0729316805996
60.,Соколиная Гора,203153,2928.120495820121
61.,Южное Тушино,202577,2919.818391467282
62.,Головинский,201226,2900.3459210147016
63.,Коптево,200683,2892.5194580570774
64.,Ростокино,198299,2858.1579705967138
65.,Восточное Измайлово,198026,2854.2231190544826
66.,Нагатино-Садовники,196864,2837.474776592678
67.,Ховрино,196511,2832.3868550014417
68.,Куркино,195998,2824.992793312194
69.,Бескудниковский,195333,2815.407898529836
70.,Бабушкинский,192036,2767.8869991351976
71.,Москворечье-Сабурово,190490,2745.603920438167
72.,Ясенево,189057,2724.9495531853563
73.,Южное Медведково,189038,2724.6756990487174
74.,Северное Медведково,188296,2713.9809743441915
75.,Чертаново Южное,187842,2707.4373018160854
76.,Чертаново Центральное,187698,2705.3617757278757
77.,Царицыно,186681,2690.7033727298935
78.,Кузьминки,186602,2689.5647160565004
79.,Новогиреево,185877,2679.1150187373883
80.,Нижегородский,185493,2673.5802825021624
81.,Лианозово,184718,2662.4099164024215
82.,Северное Измайлово,183617,2646.540789852984
83.,Лосиноостровский,183159,2639.9394638224276
84.,Отрадное,183133,2639.5647160565004
85.,Рязанский,181297,2613.1017584318247
86.,Перово,180656,2603.8627846641684
87.,Текстильщики,180132,2596.3101758431826
88.,Дмитровский,178971,2579.5762467569907
89.,Орехово-Борисово Северное,177705,2561.328913231479
90.,Орехово-Борисово Южное,177618,2560.0749495531854
91.,Северное Бутово,176752,2547.5929662727012
92.,Гольяново,175479,2529.2447391179016
93.,Митино,174221,2511.1127125972903
94.,Печатники,174181,2510.536177572788
95.,Западное Дегунино,173316,2498.068607667916
96.,Метрогородок,173226,2496.7714038627846
97.,Алтуфьевский,172840,2491.207840876333
98.,Внуковское,172512,2486.480253675411
99.,Бибирево,170692,2460.2479100605365
100.,Марьино,169341,2440.7754396079563
101.,Восточное Дегунино,169339,2440.746612856731
102.,Солнцево,169317,2440.4295185932547
103.,Люблино,168706,2431.6229460939753
104.,Выхино-Жулебино,168633,2430.570769674258
105.,Братеево,168470,2428.2213894494093
106.,Северный,167831,2419.011242432978
107.,Зябликово,167668,2416.661862208129
108.,Ярославский,166757,2403.5312770250794
109.,Ивановское,166401,2398.400115307005
110.,Ново-Переделкино,165316,2382.7616027673685
111.,Вешняки,163838,2361.458633611992
112.,Московский,162340,2339.8673969443644
113.,Новокосино,161279,2324.5748054194296
114.,Косино-Ухтомский,160997,2320.510233496685
115.,Сосенское,157905,2275.9440761026235
116.,Бирюлёво Восточное,157401,2268.6797347938887
117.,Южное Бутово,153153,2207.451715191698
118.,Капотня,142348,2051.715191697896
119.,Воскресенское,142030,2047.131738253099
120.,Десёновское,140565,2026.0161429806863
121.,Крюково,140135,2019.8183914672818
122.,"""Мосрентген""",139441,2009.8155087921593
123.,Савёлки,139195,2006.2698183914674
124.,Бирюлёво Западное,138168,1991.4672816373595
125.,Матушкино,137555,1982.631882386855
126.,Силино,134907,1944.465263764774
127.,Восточный,133093,1918.3194004035747
128.,Некрасовка,131900,1901.1242432977804
129.,Старое Крюково,131593,1896.6993369847219
130.,Внуково,130817,1885.5145575093688
131.,Троицк,127171,1832.9633900259441
132.,Щербинка,127152,1832.6895358893055
133.,Молжаниновский,122908,1771.5191697895648
134.,Филимонковское,117761,1697.333525511675
135.,Рязановское,116011,1672.1101181896802
136.,Марушкинское,113315,1633.2516575381956
137.,Кокошкино,109667,1580.6716633035458
138.,Краснопахорское,105407,1519.270683194004
139.,Первомайское,104043,1499.6108388584607
140.,Михайлово-Ярцевское,100493,1448.4433554338427
141.,Киевский,98697,1422.5569328336696
142.,Вороновское,91078,1312.7414240415105
143.,Щаповское,90865,1309.6713750360336
144.,Новофёдоровское,83308,1200.7494955318537
145.,Клёновское,64626,931.4788123378496
146.,Роговское,62867,906.1256846353417
